household_ID,dog_total,campaign_type,Strategy,ward,village,sub_village,dog_vacc_status,dogs_yes_vacc,dogs_no_vacc,vacc_card_status,number_dogs_seen,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,RegionName.y,district
RCT0324,1,continuous,1,6,13,31,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0323,1,continuous,1,6,13,31,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0322,1,continuous,1,6,13,31,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0321,2,continuous,1,6,13,31,yes_vacc,2,0,no_card,2,2,NA,no,0,Mara,0
RCT0300,1,continuous,1,6,14,40,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0299,3,continuous,1,6,14,40,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,0
RCT0298,2,continuous,1,6,14,40,yes_vacc,1,1,yes_card,2,1,NA,no,11,Mara,0
RCT0297,1,continuous,1,6,14,40,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0296,1,continuous,1,6,14,40,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0295,2,continuous,1,6,14,40,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0294,2,continuous,1,6,14,40,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0293,3,continuous,1,6,14,40,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,0
RCT0292,4,continuous,1,6,14,40,yes_vacc,2,2,yes_card,4,2,NA,no,2,Mara,0
RCT0291,2,continuous,1,6,14,40,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0290,1,continuous,1,6,14,109,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0289,1,continuous,1,6,14,109,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0288,3,continuous,1,6,14,109,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
RCT0287,1,continuous,1,6,14,109,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0286,2,continuous,1,6,14,109,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0285,4,continuous,1,6,14,109,yes_vacc,4,0,yes_card,4,4,NA,no,4,Mara,0
RCT0284,5,continuous,1,6,14,109,yes_vacc,4,1,yes_card,4,4,NA,no,4,Mara,0
RCT0283,4,continuous,1,6,14,109,yes_vacc,1,3,yes_card,4,1,NA,no,1,Mara,0
RCT0282,1,continuous,1,6,14,109,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0281,1,continuous,1,6,14,109,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0280,3,continuous,1,6,14,10,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,0
RCT0279,2,continuous,1,6,14,10,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0277,2,continuous,1,6,14,10,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0277,4,continuous,1,6,14,10,yes_vacc,3,1,yes_card,3,3,NA,no,3,Mara,0
RCT0276,3,continuous,1,6,14,10,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,0
RCT0275,1,continuous,1,6,14,10,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0274,2,continuous,1,6,14,10,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0273,1,continuous,1,6,14,10,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0272,1,continuous,1,6,14,10,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0271,2,continuous,1,6,14,10,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0350,2,continuous,1,6,15,83,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0349,1,continuous,1,6,15,83,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0348,1,continuous,1,6,15,83,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0347,1,continuous,1,6,15,83,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0346,1,continuous,1,6,15,83,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0345,2,continuous,1,6,15,83,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0344,1,continuous,1,6,15,83,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0343,1,continuous,1,6,15,83,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0342,1,continuous,1,6,15,83,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0341,1,continuous,1,6,15,83,no_vacc,NA,1,,1,1,NA,,NA,Mara,0
RCT0340,1,continuous,1,6,15,30,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0339,1,continuous,1,6,15,30,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0338,1,continuous,1,6,15,30,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0337,1,continuous,1,6,15,30,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0336,2,continuous,1,6,15,30,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0335,2,continuous,1,6,15,30,yes_vacc,1,1,yes_card,2,1,NA,no,1,Mara,0
RCT0334,1,continuous,1,6,15,30,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0333,1,continuous,1,6,15,30,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0332,1,continuous,1,6,15,30,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0331,2,continuous,1,6,15,30,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
